2025-03-20 11:55:05.793 +07 | ERROR    | Line  104 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:55:05.793 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:55:05.793 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:55:49.886 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:55:50.193 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:55:50.966 +07 | ERROR    | Line  104 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:55:50.966 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:55:50.966 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:56:26.127 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:56:26.410 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:56:27.565 +07 | INFO     | Line   40 (qdrant_service.py): Processed 22 document chunks.
2025-03-20 11:56:27.581 +07 | INFO     | Line   50 (qdrant_service.py): Successfully uploaded documents to Qdrant.
2025-03-20 11:56:27.582 +07 | INFO     | Line   19 (task_load_data.py): ✅ Successfully loaded 22 document chunks into Qdrant.
2025-03-20 11:58:06.718 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:58:07.075 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:58:08.904 +07 | INFO     | Line   40 (qdrant_service.py): Processed 22 document chunks.
2025-03-20 11:58:08.947 +07 | INFO     | Line   50 (qdrant_service.py): Successfully uploaded documents to Qdrant.
2025-03-20 11:58:08.948 +07 | INFO     | Line   19 (task_load_data.py): ✅ Successfully loaded 22 document chunks into Qdrant.
2025-03-20 12:19:37.411 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:19:37.952 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:19:37.953 +07 | ERROR    | Line  116 (application.py): Error processing investigation: 'DocumentRetriever' object has no attribute 'retrieve'
2025-03-20 12:22:19.423 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:22:19.931 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:22:23.190 +07 | INFO     | Line   89 (application.py): Retrieved 10 documents.
2025-03-20 12:22:33.731 +07 | INFO     | Line   94 (application.py): Top 5 ranked documents selected.
2025-03-20 12:22:33.731 +07 | ERROR    | Line  116 (application.py): Error processing investigation: PerformLLM.generate_report() takes 2 positional arguments but 4 were given
2025-03-20 12:24:51.096 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:24:51.618 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:24:54.024 +07 | INFO     | Line   89 (application.py): Retrieved 10 documents.
2025-03-20 12:25:00.059 +07 | INFO     | Line   94 (application.py): Top 5 ranked documents selected.
2025-03-20 12:25:00.060 +07 | ERROR    | Line  116 (application.py): Error processing investigation: 'confidence'
2025-03-20 12:33:42.760 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:33:43.289 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:33:45.782 +07 | INFO     | Line   89 (application.py): Retrieved 10 documents.
2025-03-20 12:33:51.307 +07 | INFO     | Line   94 (application.py): Top 5 ranked documents selected.
2025-03-20 12:33:51.308 +07 | ERROR    | Line  116 (application.py): Error processing investigation: 'text'
2025-03-20 12:34:07.321 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:34:07.826 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:34:10.974 +07 | INFO     | Line   89 (application.py): Retrieved 10 documents.
2025-03-20 12:34:16.811 +07 | INFO     | Line   94 (application.py): Top 5 ranked documents selected.
2025-03-20 12:34:23.461 +07 | INFO     | Line   98 (application.py): Investigation report generated.
2025-03-20 12:34:23.461 +07 | ERROR    | Line  116 (application.py): Error processing investigation: 'S3Handler' object has no attribute 'save_report'
2025-03-20 12:34:59.648 +07 | INFO     | Line   57 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:35:00.202 +07 | INFO     | Line   77 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:35:03.709 +07 | INFO     | Line   89 (application.py): Retrieved 10 documents.
2025-03-20 12:35:09.336 +07 | INFO     | Line   94 (application.py): Top 5 ranked documents selected.
2025-03-20 12:35:16.505 +07 | INFO     | Line   98 (application.py): Investigation report generated.
2025-03-20 12:40:50.669 +07 | INFO     | Line   56 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:40:51.083 +07 | INFO     | Line   75 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:40:53.710 +07 | INFO     | Line   87 (application.py): Retrieved 10 documents.
2025-03-20 12:41:00.056 +07 | INFO     | Line   92 (application.py): Top 5 ranked documents selected.
